_id,name,description,images[0],images[1],images[2],images[3],images[4],images[5],brand,price,oldPrice,catName,catId,subCatId,subCat,subCatName,category,countInStock,rating,isFeatured,discount,dateCreated,__v,nutrition
674054d5e61843c594725d88,Viên uống vitamin E DHC Natural Vitamin E (Soybean),"Giúp bảo vệ da khỏi ô nhiễm môi trường.\n\nGiúp chữa lành vết thương, khiến vết thương mau lành.\n\nCác đối tượng đặc biệt như trẻ nhỏ, phụ nữ mang thai hoặc đang cho con bú nên tham khảo ý kiến bác sĩ trước khi sử dụng.",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732269328/1732269327818_1849c1c58bdd27f56ff0e8ede64d8226.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732269335/1732269334990_ec23a656f23283aa855051b8188f255f.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732269341/1732269340411_fd7ea3ae6f4bfefc0d7a1ee478d89fb6.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732269346/1732269345699_869ae1150fb6af04f76fee8dbdabf25f.jpg.webp,,,DHC,155000,175000,Thực phẩm bổ sung,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,100,0,true,10,2024-11-22T09:54:29.687Z,0,Vitamin E
6740556be61843c594725dc0,Viên Uống Vitamin Tổng Hợp DHC Multi Vitamin 90 Ngày,"DHC Multi Vitamins giúp bổ sung các vitamin thiết yếu như β-carotene, B1, B2, B6, B12, C, D, E, acid folic, acid panthonenate, niacin, biotin. Các thành phần được kết hợp với tỷ lệ cân bằng và hợp lý nhất giúp nâng cao sức khỏe hệ miễn dịch và hỗ trợ duy trì một sức khỏe dẻo dai. Các thành phần trong sản phẩm sau khi đi vào cơ thể sẽ tham gia vào quá trình chuyển hóa giúp cơ thể phát triển toàn diện, hỗ trợ giảm suy nhược cơ thể, giảm nguy cơ mắc bệnh vặt cũng như các bệnh lý liên quan đến hệ tim mạch, thần kinh, xương khớp và tiêu hóa.",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732269414/1732269411722_aef0e13250b9479b1f73290e1e45d1ee.jpg.webp,,,,,,DHC,275000,310000,Thực phẩm bổ sung,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,100,0,true,10,2024-11-22T09:56:59.973Z,0,"Vitamin C, Beta Carotene, Vitamin E, Enzyme-modified Rutin, Niacin, Vitamin B2, Vitamin B1, Vitamin D3, Vitamin B6, Vitamin B12, Biotin, Folic Acid, Vitamin P, Pantothenic Acid."
674065d6347c09c59cbb402a,Viên Uống Bổ Sung Vitamin C DHC Nhật Bản 120 Viên,"Viên bổ sung vitamin C - DHC Nhật Bản bổ sung vitamin C, vitamin B2 giúp hỗ trợ sức khỏe, giảm cholesterol, tăng sức đề kháng cho cơ thể, phòng chống các bệnh mãn tính đối với người ăn uống thiếu chất, những người thường xuyên bị căng thẳng từ công việc, người hay uống nhiều bia rượu, thuốc lá. Sản phẩm phù hợp cho mọi lứa tuổi, gói 120 viên dùng trong 60 ngày.",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732273622/1732273618160_ae010f46766fe6bd172f8137beb96285.jpg.webp,,,,,,DHC,265000,275000,Thực phẩm bổ sung,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,100,0,true,5,2024-11-22T11:07:02.604Z,0,"Vitamin C, Vitamin B2"
67407302d80adc0207bdeb97,Viên Uống Bổ Sung Vitamin C Blackmores Bio C 1000mg Lọ 31 Viên,"Viên Uống Blackmores Bổ Sung Vitamin C Bio C 1000mg là giải pháp lý tưởng bổ sung vitamin C hàm lượng cao, giúp bảo vệ sức khỏe. Sản phẩm có công thức muối đệm ascorbate tạo sự dịu nhẹ với dạ dày và chiết xuất citrus bioflavonoid giúp tăng cường hấp thu vitamin C. Không chỉ hỗ trợ hệ miễn dịch, viên uống còn hỗ trợ giảm nhẹ các triệu chứng cảm cúm, chống lại các tổn thương do gốc tự do và hỗ trợ mau liền vết thương….\n",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732276985/1732276980480_c8bba35d28d9fdd1ec0efe891c006e3a.png.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732276990/1732276988385_a4c1b8709ee74c9e970dbb23b67fe982.png.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732276993/1732276992003_6c539816c7fb3564d9fb0a76e2b6905c.png.webp,,,,Blackmores,294000,338000,Vitamin và khoáng chất,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,20,0,true,13,2024-11-22T12:03:14.707Z,0,"Sour Cherry Extract, Orange Extract, Lemon Extract, Grapefruit Extract, Rosehip Extract, Hesperidin, Rutin, Vitamin C."
6740746237c34e760e8c181e,"Vitamin C Kirkland Signature Mỹ Tăng cường sức đề kháng, Sáng da, làm chậm quá trình lão hóa, nhanh lành vết thương - OZ Slim Store","       - Vitamin C Mỹ Kirkland Signature rất hữu ích để bổ sung Vitamin C và hỗ trợ duy trì sức khỏe chung. Nó cũng giúp tăng cường sự hình thành collagen, duy trì sức khỏe và tăng chức năng của hệ thống miễn dịch, đồng thời bảo vệ cơ thể khỏi tác động xấu của các gốc tự do.\n\n       - Kirkland Signature thành lập vào năm 1995 và hiện là một trong những thương hiệu nổi tiếng về thực phẩm chức năng từ thiên nhiên để chăm sóc sức khỏe với chất lượng và giá cả phù hợp. Tất cả các sản phẩm đều được cấp xác nhận đạt chât lượng sử dụng của Hội đồng Dược điển Mỹ (USP).",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732277331/1732277328486_6c539816c7fb3564d9fb0a76e2b6905c.png.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732277340/1732277337322_7acdec42bb0e8ac320b96284a9153836.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732277341/1732277337323_452727b31e85678817a8717cf3495519.jpg.webp,,,,Kirkland,590000,11800000,Vitamin và khoáng chất,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,20,0,true,50,2024-11-22T12:09:06.592Z,0,"Vitamin C 1000 mg, Chus Bioflavonoid Complex (Citrus sp.) (Fruit) 100 mg 10% (10 mg) Hesperidin and Rutin, Ascorbic Acid, Microcrystalline Cellulose (Plant Origin), Maltodextrin, Croscarmellose Sodium, Bioflavonoid Complex, Vegetable Magnesium Stearate, Organic Guar Gum, Organic Pectin, Sunflower Lecithin."
6740752937c34e760e8c1834,Viên uống bổ sung canxi hữu cơ cho bà bầu và mọi lứa tuổi Green Calcium Olympian Labs 100 viên,"Bổ sung canxi hữu cơ mát cho bà bầu, dễ hấp thụ, không táo bón, không nóng trong, không gây sỏi thận.\nGiảm đau lưng, đau mỏi xương khớp do thiếu canxi trong suốt thai kỳ.\nGiảm tình trạng chuột rút, tê bì tay chân ở bà bầu.\nCung cấp canxi cho thai nhi phát triển, phòng ngừa dị dạng xương, suy dinh dưỡng.\nGiảm nguy cơ tiền sản giật và sinh non cho mẹ bầu.\nBổ sung canxi cho mẹ sau sinh phòng loãng xương và đảm bảo chất lượng sữa cho con bú.",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732277496/1732277493388_d4887f3b60f4af64bd3c7dabad043bb0.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732277532/1732277529166_6af118f41efbbbd70723c183861ebddb.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732277533/1732277529168_3649425a46c8ad16bfecfd1bb51f228c.jpg.webp,,,,Olympian Labs,448000,580000,Vitamin và khoáng chất,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,20,0,true,23,2024-11-22T12:12:25.902Z,0,Canxi
67407d0685350f5e8246f3cc,"Men vi sinh bào tử lợi khuẩn MenSporeX Viphar giảm rối loạn tiêu hoá, con ăn ngon, tăng cân, lọ 10ml","Men vi sinh cho bé dùng được từ sơ sinh, mỗi lọ 10ml MenSporeX chứa 60 tỷ bào tử lợi khuẩn hỗ trợ hệ tiêu hoá:\n- Cải thiện nôn trớ, biếng ăn, giúp bé ăn ngon, tăng cân, tăng đề kháng.\n- Giảm táo bón, tiêu chảy, đầy bụng, phân sống, rối loạn tiêu hoá do loạn khuẩn đường ruột.",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279534/1732279531213_1141bbb0cf6713c55cc45863426a58e2.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279541/1732279538766_937ec65cb2fe16ba7749abe6e9e0251d.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279543/1732279538767_dc6dcfa85ac61b77557f34d21f5660bc.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279544/1732279538768_0b6f995d2db6d65b70f94fe42cd5209e.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279546/1732279538770_1c87c1c2237da0f28585f1e61d43ebfd.jpg.webp,,Viphar ,175000,239000,Hỗ trợ tiêu hóa,673681b99a93123a7a36691f,,,,673681b99a93123a7a36691f,100,0,true,27,2024-11-22T12:45:58.952Z,0,"Bacillus Clausii, Bacillus Coagulans, Bacillus Subtilis"
67407dda85350f5e8246f3e2,"Bình vị Thái Minh- Giảm viêm loét dạ dày, trào ngược dạ dày, thực quản ","Bình Vị Thái Minh hỗ trợ giảm acid dịch vị, giúp bảo vệ niêm mạc dạ dày. Hỗ trợ cải thiện và giảm thiểu các biểu hiện của viêm loét dạ dày.",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279741/1732279738411_664434c830d463c2640fb6d53b9d9278.png.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279745/1732279743510_dded779b0c5dc71d67acdf7c26aa9447.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279746/1732279743511_36e498b0e0b4a2d972086de250c8dbc4.jpg.webp,,,,DP Thái Minh,600000,738000,Hỗ trợ tiêu hóa,673681b99a93123a7a36691f,,,,673681b99a93123a7a36691f,100,0,true,23,2024-11-22T12:49:30.609Z,0,"Oroxylum indicum, Atractylodes lancea, Zinc Gluconate, Giganosin, Mucosave"
67407ebf85350f5e8246f409,"Hỗ trợ bé ăn ngon, tăng đề kháng - Men vi sinh cho bé Bifina Baby Nhật Bản- Hộp 30 gói",Bổ sung lợi khuẩn\nGiúp hệ vi sinh đường ruột khỏe mạnh\nHỗ trợ tiêu hóa\nTăng cường sức đề kháng.,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279987/1732279984336_268b3783afb22f653da7bc23f1eb44df.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279991/1732279990002_4897fb5a9f7a79c8103c690db76d22d6.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279992/1732279990002_a41c31a205e808e625942f086ec888fc.jpg.webp,https://res.cloudinary.com/dk0hrho2u/image/upload/v1732279993/1732279990004_3f77c5836694bc0d820a3ecb08137b8e.jpg.webp,,,Bifina,468000,767000,Vitamin và khoáng chất,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,100,0,true,39,2024-11-22T12:53:19.187Z,0,"Bifidobacterium breve, Dextrin, Starch"
6740824e85350f5e8246f478,Viên bổ sung vitamin tổng hợp và khoáng chất Multivit Daglig hỗ trợ tăng cường sức đề kháng lọ 180 viên,"Multivit Daglig được nghiên cứu bởi những chuyên gia y tế hàng đầu và nhập khẩu hoàn toàn từ Na Uy. Các vitamin và khoáng chất trong sản phẩm đều chiết xuất từ trái cây và rau củ xanh sạch, nuôi trồng với công nghệ tiên tiến ở Bắc Âu đảm bảo giữ nguyên giá trị dinh dưỡng tự nhiên.\n\nTỉ lệ thành phần phân chia theo công thức độc quyền, hàm lượng phù hợp nhu cầu của mỗi người và dễ dàng để cơ thể hấp thu hiệu quả.\n\nMultivit Daglig là sản phẩm của Pharmatech (Na Uy), 1 trong 3 công ty dược phẩm hàng đầu châu Âu với hơn 30 năm phát triển, đã khẳng định được chất lượng trên trường quốc tế. Sản phẩm chức năng của Pharmatech đều đạt các tiêu chuẩn khắt khe của quốc tế như:\n\n- Chứng nhận an toàn thực phẩm của FDA Hoa Kỳ\n- Chứng nhận an toàn thực phẩm của Mattilsynet Na Uy\n- Tiêu chuẩn chất lượng Châu Âu EU\n- Chứng nhận Debio\n- Chứng nhận MSC",https://res.cloudinary.com/dk0hrho2u/image/upload/v1732280876/1732280872939_multivit_daglig_pharmatech_180v_2_b23e7d0385.webp,,,,,, Pharmatech,539000,990000,Vitamin và khoáng chất,673680ac9a93123a7a3668ec,,,,673680ac9a93123a7a3668ec,100,0,true,46,2024-11-22T13:08:30.398Z,0,"Vitamin E, Vitamin B3 (Niacin), Vitamin B5 (Pantothenic Acid), Vitamin B6 (Pyridoxine), Vitamin B2 (Riboflavin), Vitamin B1 (Thiamine), Vitamin K1, Vitamin D3, Vitamin B12 (Cobalamin), Vitamin B7 (Biotin), Zinc, Manganese, Copper Sulfate, Potassium Iodide, Selenium, Molybdenum (as Sodium), Chromium, Vitamin B9 (Folic Acid), Vitamin C"
